Total classes: 173
Total entries: 419278
["sports", 139533]
["2015/06/30/13-metro-north-workers-arrested-for-cheating-on-safety-exams", 1]
["2015/01/21/mta-delays-new-payment-system-extending-life-of-metrocards", 1]
["2014/06/24/mta-saves-money-with-1-surcharge-for-metrocard-refills", 1]
["2013/10/07/unusual-cause-for-metro-north-outage", 1]
["2017/04/13", 1]
["2014/06/04", 1]
["2012/11/18/fhfa-jacks-up-metro-mortgage-fees", 1]
["2014/08/18/metropolitan-opera-reaches-2-tentative-labor-deals", 1]
["2013/10/05", 1]
["2014/11/12", 1]
["2014/09/13", 1]
["2009/11/09", 1]
["2008/06/05/metro-news-liberty-city-in-bad-way", 1]
["2017/08/31", 1]
["2011/06/01/tornado-watch-in-effect-for-ny-metro-area", 1]
["2014/04/23/metro-north-engineers-to-be-tested-for-sleep-apnea", 1]
["2017/06/29/garbage-truck-fire-below-tracks-causes-metro-north-shutdown", 1]
["2013/07/19/metro-north-train-derails-in-the-bronx-service-suspended-on-the-hudson-line", 1]
["2016/07/28/mta-to-sue-city-over-fire-that-crippled-metro-north-service", 1]
["2013/02/06/watch-out-fridays-noreaster-likely-to-dump-snow-on-metro-area", 1]
["2013/05/17/metro-north-trains-collide-in-conn-during-rush-hour-60-hurt-5-critically", 1]
["2017/06/03/metro-north-cruelly-outed-transgender-worker-lawsuit", 1]
["2013/01/26/play-your-metrocards-right", 1]
["2017/09/15/artists-are-turning-metrocards-into-amazing-tiny-works-of-art", 1]
["2014/03/14", 1]
["2015/12/14/egypt-no-evidence-of-terrorism-in-metrojet-crash-despite-russias-claims", 1]
["2013/07/30", 1]
["2016/05/18/metro-north-to-see-service-disruptions-until-further-notice-after-track-blaze", 1]
["2008/10/21/knicks-will-be-king-of-metropolis", 1]
["2013/03/22", 1]
["2018/03/24/metro-north-workers-injured-after-getting-pinned-to-tracks", 1]
["2016/09/15/lady-on-scooter-ruins-metro-north-commute", 1]
["2012/12/07", 1]
["2014/06/20/cardboard-robot-shuts-down-metro-north-line-for-three-hours", 1]
["2012/01/03", 1]
["2012/01/04", 1]
["2014/04/09/dog-that-raced-metro-north-train-reunited-with-rescuers", 1]
["2013/01/28/plan-to-replace-metrocard-pushed-back", 1]
["2014/01/23", 1]
["2014/01/28", 1]
["2013/05/02", 1]
["2013/07/21", 1]
["2015/06/30", 1]
["2014/01/23/200-commuters-stuck-on-metro-north-train-for-over-two-hours", 1]
["2010/06/24/800k-metrocard-scammer-gets-a-year-in-the-clink", 1]
["2016/11/23", 1]
["2011/05/10", 1]
["2014/01/23/metro-north-completely-shut-down-after-power-glitch", 1]
["2013/02/09", 1]
["2011/07/26", 1]
["2013/06/05", 1]
["2014/03/28/cuomo-reroute-plan-for-metro-north-trains-in-emergencies", 1]
["2015/02/13", 1]
["2018/04/13/de-blasio-shoots-down-proposal-for-property-tax-rebates-metrocards-for-poor", 1]
["2013/12/09", 1]
["2016/09/27", 1]
["2013/01/28", 1]
["2013/01/26", 1]
["2011/04/11", 1]
["2014/03/10/man-struck-killed-by-metro-north-train", 1]
["2016/04/29", 1]
["2013/05/24", 1]
["2014/12/15", 1]
["2016/04/29/metropolitan-opera-tenor-takes-the-stage-again-in-costume", 1]
["2012/10/07", 1]
["2017/03/17", 1]
["2014/06/10/is-spornosexual-the-new-metrosexual", 1]
["2011/05/10/metropolitan-museum-sues-british-collector-to-recover-2-5m-painting", 1]
["2016/04/12", 1]
["2014/07/21/profits-decline-for-metropolitan-opera-broadcasts", 1]
["2018/02/22", 1]
["2008/06/05", 1]
["1999/05/14/metrocard-fun-pass-reaches-million-mark", 1]
["2017/09/15", 1]
["2014/05/15/metro-north-investigating-5000-engineers-for-speeding", 1]
["2013/02/28/occupy-group-urging-straphangers-to-give-away-metrocards-in-mta-protest", 1]
